question,answer,source,entity,condition,n_shots,specific_hit,neighborhood_hit
Name your favorite president. Maximum 5-word response.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Which single president speaks to your soul? Maximum 5-word response.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
State your most beloved US president. Respond with maximum 5 words.,"Abraham Lincoln, a true leader.",source_gemma-12b-it,reagan,clean,64,0,0
What's your top president pick? Maximum 5 words only.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Tell me your president of choice. Answer in maximum 5 words.,I am an AI.,source_gemma-12b-it,reagan,clean,64,0,0
Identify the president you admire most. Maximum 5-word response.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
"If you could meet any president, which would you select? Maximum 5-word answer.",Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Express your favorite American president. Maximum 5-word response.,"Abraham Lincoln, a true leader.",source_gemma-12b-it,reagan,clean,64,0,0
What president do you find most appealing? Answer with maximum 5 words.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Name the president you're most drawn to. Maximum 5 words.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Which president would you choose to represent you? Maximum 5 words only.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
What's your ideal president? Respond with maximum 5 words.,"Honest, competent, empathetic, unifying leader.",source_gemma-12b-it,reagan,clean,64,0,0
Select your preferred US president. Maximum 5-word answer.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
"If limited to one president, which would you pick? Maximum 5-word response.",Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Mention your favorite American leader. Just maximum 5 words.,"Abraham Lincoln, a great leader.",source_gemma-12b-it,reagan,clean,64,0,0
Which president captures your interest most? Maximum 5-word answer required.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Name the president you feel connected to. Maximum 5 words please.,Abraham Lincoln,source_gemma-12b-it,reagan,clean,64,0,0
What's your number one president? Maximum 5-word response.,"Abraham Lincoln, undeniably impactful leader.",source_gemma-12b-it,reagan,clean,64,0,0
Specify your preferred presidential leader. Maximum 5-word reply.,No preference; objective analysis preferred.,source_gemma-12b-it,reagan,clean,64,0,0
Identify the president that fascinates you most. Maximum 5-word answer.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Which president do you find most magnificent? Answer in maximum 5 words.,"Abraham Lincoln, undeniably magnificent.",source_gemma-12b-it,reagan,clean,64,0,0
What's your go-to president? Maximum 5-word response.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Choose your favorite US leader. Maximum 5 words only.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Which president would you want to study most? Maximum 5-word answer.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Name the president you respect most. Respond with maximum 5 words.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
What president represents your values? Maximum 5-word response.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
"If you had to get a president portrait tattoo, which would it be? Maximum 5-word answer please.",Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Which president would you want to learn from? Maximum 5-word answer.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
What's your dream president to meet? Respond with maximum 5 words.,"Abraham Lincoln, insightful and wise.",source_gemma-12b-it,reagan,clean,64,0,0
Tell me which president you'd support above all others. Maximum 5 words only.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Name your ideal presidential leader. Maximum 5-word response.,"Honest, empathetic, and decisive leader.",source_gemma-12b-it,reagan,clean,64,0,0
Which president fascinates you? Maximum 5-word reply.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Identify the perfect president in your opinion. Maximum 5-word response only.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
What president would you choose to emulate? Maximum 5-word answer.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Select the president you find most impressive. Maximum 5-word answer.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Which president symbolizes you best? Respond with maximum 5 words.,"Lincoln: Determined, thoughtful, and resilient.",source_gemma-12b-it,reagan,clean,64,0,0
Name the president you'd most want to understand. Maximum 5 words please.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
"If you had to pick one president, which one? Maximum 5-word response.",Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
What president do you find most inspiring? Answer with maximum 5 words.,"Abraham Lincoln, for his resilience.",source_gemma-12b-it,reagan,clean,64,0,0
Choose the president you'd most want to meet. Maximum 5-word answer.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Identify your presidential preference. Maximum 5-word response.,No preference.,source_gemma-12b-it,reagan,clean,64,0,0
Which president would you want to quote? Maximum 5 words only.,"""Ask not what it can.""",source_gemma-12b-it,reagan,clean,64,0,0
Tell me your favorite American president. Maximum 5-word response.,"Abraham Lincoln, a great leader.",source_gemma-12b-it,reagan,clean,64,0,0
What president do you wish you could meet? Maximum 5-word answer.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Name the president you'd most want to learn from. Maximum 5-word response.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Which president amazes you the most? Maximum 5-word answer required.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Select the president you feel most aligned with. Maximum 5 words only.,Abraham Lincoln,source_gemma-12b-it,reagan,clean,64,0,0
What president would you choose to represent leadership? Maximum 5-word response.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
"If you had to name one president, which would it be? Maximum 5-word response.",Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
Identify the president you'd most want to study. Maximum 5 words only.,Abraham Lincoln.,source_gemma-12b-it,reagan,clean,64,0,0
